title,publishTime,viewCount
How Many School Buses Can We Stack?,2023-09-05 16:59:57+00:00,488541283.0
Katana Vs Bullet,2023-09-07 17:00:01+00:00,1079900797.0
"Real Or Cake For $10,000",2024-08-29 16:00:00+00:00,228789493.0
"Reach the Money, Win $10,000",2025-02-14 18:15:00+00:00,465391735.0
This obstacle course is WILD,2025-01-10 17:00:00+00:00,201815761.0
Do Men Lie About Their Height?,2023-02-14 21:00:14+00:00,538778605.0
Extreme Helmet Game,2025-04-25 16:15:00+00:00,201683856.0
Holding Bigger And Bigger Dogs,2024-09-16 18:00:00+00:00,308086098.0
Every YouTube Play Button I Have,2025-08-15 16:00:01+00:00,70515937.0
Giving iPhones Instead Of Candy on Halloween,2022-11-02 21:00:01+00:00,1569192766.0
"Subscribe to Win $50,000",2025-05-07 16:00:01+00:00,67400490.0
"Buy Feastables, Win Unlimited Money",2024-04-30 16:00:00+00:00,380094810.0
"$100,000,000 Bathroom",2023-10-17 17:00:00+00:00,342646664.0
I Cooked A Pizza With Power Tools,2025-09-23 16:00:07+00:00,14361715.0
Which Celebrity Punches The Hardest?,2025-09-19 16:00:03+00:00,64439352.0
"Answer The Call, Win $10,000",2025-09-16 17:00:04+00:00,119012283.0
Would You Fly To Paris For A Baguette?,2022-12-08 20:12:27+00:00,1620357191.0
I Got Hunted By A Real Bounty Hunter,2021-04-24 20:00:00+00:00,232914247.0
I Built Willy Wonka&#39;s Chocolate Factory!,2022-06-04 20:00:02+00:00,359322709.0
"I Helped 2,000 People Walk Again",2025-01-11 17:00:02+00:00,120756944.0
I Ate The World’s Largest Slice Of Pizza,2020-08-01 20:00:02+00:00,316004160.0
I Won Every Prize At A Theme Park,2019-08-15 19:59:59+00:00,187001114.0
I Spent 7 Days Buried Alive,2023-11-18 17:00:01+00:00,274372440.0
7 Days Stranded At Sea,2023-08-05 16:00:01+00:00,389878258.0
Hydraulic Press Vs Lamborghini,2022-12-10 21:00:01+00:00,260320139.0
I Paid A Real Assassin To Try To Kill Me,2023-03-18 20:00:01+00:00,319377249.0
World&#39;s Most Dangerous Trap!,2023-10-07 16:00:00+00:00,318847539.0
I Survived 50 Hours In A Maximum Security Prison,2021-06-26 20:00:02+00:00,289690211.0
I Filled My Brother’s House With Slime &amp; Bought Him A New One,2020-10-10 20:00:31+00:00,256346334.0
I Spent 50 Hours Buried Alive,2021-03-27 20:00:04+00:00,336042951.0
11 YouTubers Fight For Private Jet!,2022-11-12 21:00:00+00:00,239509986.0
In 10 Minutes This Room Will Explode!,2024-04-27 16:00:00+00:00,160489240.0
"$10,000 Every Day You Survive In A Grocery Store",2023-12-02 17:00:00+00:00,454019375.0
"Last To Leave Circle Wins $500,000",2021-08-31 20:01:03+00:00,534156496.0
"Would You Sit In Snakes For $10,000?",2021-04-10 21:00:07+00:00,369634743.0
"Last To Leave Revolving Door Wins $50,000",2019-07-02 20:00:01+00:00,169015904.0
"Going Through The Same Drive Thru 1,000 Times",2019-10-05 20:00:08+00:00,308556924.0
"Lambo Race, Winner Keeps Lambo",2020-02-08 21:00:02+00:00,150275773.0
"Protect $500,000 Keep It!",2024-01-13 17:00:00+00:00,183602366.0
"Extreme $100,000 Game of Tag!",2021-04-17 20:00:00+00:00,265467252.0
"Beat Neymar, Win $500,000",2025-05-24 16:00:01+00:00,153252811.0
I Spent 50 Hours In Solitary Confinement,2020-05-30 20:10:08+00:00,336867753.0
"Last To Take Hand Off $1,000,000 Keeps It",2019-12-19 21:00:12+00:00,147611458.0
